"Source";"Target";"Weight"
"Lrrc4c";"Rgs6";"0.514"
"Lrrc4c";"Nrxn3";"0.575"
"Meg3";"Lrrc4c";"0.537"
"Lrrc4c";"Ckb";"0.508"
"Ctnnd2";"Lrrc4c";"0.568"
"Lrrc4c";"Csmd3";"0.591"
"Lrrc4c";"Adcy8";"0.505"
"Lrrc4c";"Phf20l1";"0.503"
"Lrrc4c";"Pi4ka";"0.52"
"Cadm2";"Lrrc4c";"0.502"
"Ttc3";"Lrrc4c";"0.505"
"Dscam";"Lrrc4c";"0.567"
"Pde10a";"Lrrc4c";"0.596"
"Lrrc4c";"Park2";"0.513"
"Dlgap1";"Lrrc4c";"0.522"
"Nrxn1";"Lrrc4c";"0.543"
"ENSMUSG00000041670";"Lrrc4c";"0.515"
"Lrrc4c";"ENSMUSG00000037876";"0.556"
"Lrrc4c";"ENSMUSG00000102657";"0.54"
"Ryr3";"Eif2ak4";"0.562"
"Ryr3";"Sema6d";"0.51"
"Ndrg3";"Ryr3";"0.617"
"Ryr3";"Chd6";"0.507"
"Ryr3";"Tenm1";"0.624"
"Ryr3";"C230004F18Rik";"0.529"
"Ryr3";"Dmd";"0.583"
"Ryr3";"5330434G04Rik";"0.501"
"Ryr3";"Ctps2";"0.589"
"Ryr3";"Gatad2b";"0.508"
"Ryr3";"Vav3";"0.581"
"Ank2";"Ryr3";"0.62"
"Ryr3";"Lingo2";"0.599"
"Ryr3";"Dnajc6";"0.519"
"Agbl4";"Ryr3";"0.509"
"Rsrp1";"Ryr3";"0.581"
"Ryr3";"Kmt2c";"0.585"
"Ryr3";"Rufy3";"0.621"
"Ryr3";"Atxn2";"0.507"
"Ryr3";"Galnt17";"0.535"
"Kcnd2";"Ryr3";"0.517"
"Ryr3";"Rbm28";"0.692"
"Ryr3";"Erc1";"0.568"
"Ryr3";"Snrpn";"0.504"
"Ryr3";"Fam168a";"0.687"
"Ryr3";"Smg1";"0.608"
"Syne1";"Ryr3";"0.519"
"Ryr3";"Slc35f1";"0.549"
"Ryr3";"Serinc1";"0.526"
"Ryr3";"Usp15";"0.538"
"Nrg1";"Ryr3";"0.741"
"Ryr3";"Sorbs2";"0.507"
"Ryr3";"Glg1";"0.546"
"Ryr3";"Cntnap4";"0.539"
"Ryr3";"Fam208a";"0.517"
"Grid1";"Ryr3";"0.63"
"Nrg3";"Ryr3";"0.585"
"Tsc22d1";"Ryr3";"0.517"
"Pcdh9";"Ryr3";"0.627"
"Ryr3";"Dach1";"0.639"
"Ryr3";"Opcml";"0.68"
"Ntm";"Ryr3";"0.519"
"Ryr3";"Grik4";"0.6"
"Ryr3";"Acaca";"0.652"
"Ryr3";"Jarid2";"0.548"
"Ryr3";"Hnrnpk";"0.553"
"Pde4d";"Ryr3";"0.532"
"Ryr3";"Nova1";"0.616"
"Ryr3";"Akap6";"0.557"
"Ryr3";"Ttc7b";"0.522"
"Ryr3";"Oxct1";"0.596"
"Ryr3";"Cdh10";"0.56"
"Ctnnd2";"Ryr3";"0.521"
"Cntn1";"Ryr3";"0.682"
"Ttc3";"Ryr3";"0.551"
"Pde10a";"Ryr3";"0.623"
"Pja2";"Ryr3";"0.523"
"Ryr3";"Impact";"0.512"
"Ryr3";"Mapre2";"0.688"
"Ryr3";"Wdr7";"0.675"
"Ryr3";"Ldlrad4";"0.501"
"Ryr3";"ENSMUSG00000005506";"0.56"
"Scg5";"Pcsk1n";"0.641"
"Gria2";"Scg5";"0.523"
"Scg5";"Cpe";"0.533"
"Scg5";"Itm2b";"0.61"
"Scg5";"Hspa8";"0.51"
"Scg5";"Grik4";"0.506"
"Scg5";"Mdh1";"0.53"
"Ckb";"Scg5";"0.558"
"Ttc3";"Scg5";"0.571"
"ENSMUSG00000083679";"Scg5";"0.539"
"Ndrg3";"Eif2ak4";"0.515"
"Ank2";"Eif2ak4";"0.569"
"Eif2ak4";"Rufy3";"0.601"
"Eif2ak4";"Smg1";"0.589"
"Grid1";"Eif2ak4";"0.525"
"Tsc22d1";"Eif2ak4";"0.503"
"Eif2ak4";"Dach1";"0.565"
"Eif2ak4";"Grik4";"0.504"
"Eif2ak4";"Acaca";"0.533"
"Eif2ak4";"Ttc7b";"0.503"
"Eif2ak4";"Cdh10";"0.503"
"Cntn1";"Eif2ak4";"0.556"
"Ttc3";"Eif2ak4";"0.504"
"Pde10a";"Eif2ak4";"0.539"
"Eif2ak4";"Mapre2";"0.594"
"Eif2ak4";"Wdr7";"0.562"
"Fam155a";"Stard9";"0.51"
"Kcnma1";"Stard9";"0.526"
"Frmd5";"Trpm7";"0.528"
"Frmd5";"Snph";"0.524"
"Frmd5";"Rbm39";"0.507"
"Snhg11";"Frmd5";"0.587"
"Frmd5";"Chd6";"0.574"
"Frmd5";"Idh3g";"0.521"
"Frmd5";"Ogt";"0.501"
"Rtl4";"Frmd5";"0.533"
"Frmd5";"Nbea";"0.565"
"Gria2";"Frmd5";"0.55"
"Frmd5";"Pde4dip";"0.532"
"Ank2";"Frmd5";"0.642"
"Frmd5";"Pnisr";"0.5"
"Frmd5";"Lingo2";"0.578"
"Frmd5";"Sh3gl2";"0.508"
"Frmd5";"Sgip1";"0.507"
"Agbl4";"Frmd5";"0.582"
"Frmd5";"Macf1";"0.527"
"Rsrp1";"Frmd5";"0.525"
"Frmd5";"Camta1";"0.601"
"Adam22";"Frmd5";"0.515"
"Frmd5";"Pclo";"0.532"
"Magi2";"Frmd5";"0.561"
"Frmd5";"Lhfpl3";"0.543"
"Frmd5";"Pcdh7";"0.508"
"Caln1";"Frmd5";"0.535"
"Dync1i1";"Frmd5";"0.531"
"Kcnd2";"Frmd5";"0.54"
"Frmd5";"Chchd3";"0.523"
"Frmd5";"Luc7l2";"0.501"
"Ccser1";"Frmd5";"0.545"
"Ctnna2";"Frmd5";"0.617"
"Frmd5";"Srgap3";"0.523"
"Frmd5";"Bicd1";"0.529"
"Frmd5";"Gabrb3";"0.51"
"Ube3a";"Frmd5";"0.599"
"Frmd5";"Dlg2";"0.531"
"Syne1";"Frmd5";"0.577"
"Frmd5";"Rmst";"0.612"
"Fam155a";"Frmd5";"0.611"
"Cadps";"Frmd5";"0.54"
"Frmd5";"Kcnma1";"0.613"
"Frmd5";"Cacna1d";"0.504"
"Grid1";"Frmd5";"0.515"
"Nrg3";"Frmd5";"0.653"
"Frmd5";"Atp8a2";"0.522"
"Pcdh9";"Frmd5";"0.551"
"Mycbp2";"Frmd5";"0.634"
"Fgf14";"Frmd5";"0.599"
"Gria4";"Frmd5";"0.563"
"Frmd5";"Opcml";"0.52"
"Ntm";"Frmd5";"0.617"
"Frmd5";"Sik3";"0.546"
"Rora";"Frmd5";"0.509"
"Snap91";"Frmd5";"0.542"
"Frmd5";"Ehbp1";"0.516"
"Frmd5";"Ccdc88a";"0.506"
"Frmd5";"Nsf";"0.544"
"Frmd5";"Kansl1";"0.511"
"Frmd5";"Prkar1a";"0.601"
"Frmd5";"Ryr2";"0.509"
"Frmd5";"A330102I10Rik";"0.538"
"Map1b";"Frmd5";"0.525"
"Pde4d";"Frmd5";"0.614"
"Frmd5";"Immp2l";"0.519"
"Frmd5";"Akap6";"0.531"
"Mdga2";"Frmd5";"0.591"
"Frmd5";"Gphn";"0.516"
"Meg3";"Frmd5";"0.65"
"Oxct1";"Frmd5";"0.526"
"Ctnnd2";"Frmd5";"0.514"
"Frmd5";"Fam49b";"0.516"
"Cntn1";"Frmd5";"0.559"
"Rbfox1";"Frmd5";"0.572"
"Frmd5";"Pi4ka";"0.543"
"Ttc3";"Frmd5";"0.582"
"Dscam";"Frmd5";"0.655"
"Pde10a";"Frmd5";"0.53"
"Frmd5";"Park2";"0.583"
"Dlgap1";"Frmd5";"0.516"
"Nrxn1";"Frmd5";"0.533"
"Wdr7";"Frmd5";"0.568"
"Frmd5";"Ldlrad4";"0.523"
"Frmd5";"Malat1";"0.506"
"Frmd5";"Ablim1";"0.502"
"ENSMUSG00000041670";"Frmd5";"0.547"
"Frmd5";"ENSMUSG00000037876";"0.52"
"Frmd5";"ENSMUSG00000102657";"0.58"
"Sema6d";"Tenm1";"0.511"
"Sema6d";"Dmd";"0.578"
"Sema6d";"Ctps2";"0.525"
"Sema6d";"Clock";"0.517"
"Sema6d";"Rufy3";"0.549"
"Sema6d";"Serinc1";"0.503"
"Nrg1";"Sema6d";"0.616"
"Sema6d";"Itm2b";"0.543"
"Sema6d";"Nova1";"0.563"
"Sema6d";"Cdh10";"0.551"
"Cntn1";"Sema6d";"0.548"
"Ttc3";"Sema6d";"0.572"
"Pde10a";"Sema6d";"0.521"
"Sema6d";"Impact";"0.571"
"Sema6d";"Mapre2";"0.542"
"Sema6d";"Wdr7";"0.505"
"Sema6d";"Ldlrad4";"0.507"
"Snhg11";"Trpm7";"0.568"
"Trpm7";"Chd6";"0.557"
"Rtl4";"Trpm7";"0.512"
"Trpm7";"Nbea";"0.523"
"Gria2";"Trpm7";"0.567"
"Gatad2b";"Trpm7";"0.51"
"Ank2";"Trpm7";"0.595"
"Agbl4";"Trpm7";"0.557"
"Trpm7";"Camta1";"0.512"
"Magi2";"Trpm7";"0.547"
"Trpm7";"Lhfpl3";"0.501"
"Trpm7";"Ica1";"0.501"
"Trpm7";"Bicd1";"0.534"
"Ube3a";"Trpm7";"0.535"
"Trpm7";"Otud7a";"0.564"
"Trpm7";"Grm5";"0.508"
"Syne1";"Trpm7";"0.525"
"Fam155a";"Trpm7";"0.519"
"Cadps";"Trpm7";"0.518"
"Nrg3";"Trpm7";"0.577"
"Pcdh9";"Trpm7";"0.517"
"Mycbp2";"Trpm7";"0.582"
"Trpm7";"Opcml";"0.524"
"Ntm";"Trpm7";"0.578"
"Trpm7";"Grik4";"0.528"
"Rora";"Trpm7";"0.541"
"Snap91";"Trpm7";"0.508"
"Trpm7";"Ehbp1";"0.522"
"Pde4d";"Trpm7";"0.549"
"Meg3";"Trpm7";"0.599"
"Ctnnd2";"Trpm7";"0.535"
"Trpm7";"Phf20l1";"0.551"
"Cntn1";"Trpm7";"0.539"
"Trpm7";"Pi4ka";"0.523"
"Ttc3";"Trpm7";"0.5"
"Dscam";"Trpm7";"0.547"
"Trpm7";"Tcf4";"0.525"
"Trpm7";"Malat1";"0.524"
"ENSMUSG00000097451";"Trpm7";"0.503"
"Trpm7";"ENSMUSG00000102657";"0.595"
"Snhg11";"Idh3b";"0.518"
"Slc22a17";"Idh3b";"0.517"
"Mdh1";"Idh3b";"0.506"
"Snhg11";"4930402H24Rik";"0.543"
"4930402H24Rik";"Ogt";"0.517"
"4930402H24Rik";"Sgip1";"0.516"
"Magi2";"4930402H24Rik";"0.567"
"Fam155a";"4930402H24Rik";"0.51"
"Cadps";"4930402H24Rik";"0.541"
"Ube2e2";"4930402H24Rik";"0.552"
"Kcnma1";"4930402H24Rik";"0.505"
"4930402H24Rik";"Atp8a2";"0.514"
"Gria4";"4930402H24Rik";"0.518"
"4930402H24Rik";"Amph";"0.502"
"Pde4d";"4930402H24Rik";"0.502"
"Mdga2";"4930402H24Rik";"0.512"
"Meg3";"4930402H24Rik";"0.55"
"4930402H24Rik";"Rims2";"0.529"
"4930402H24Rik";"Malat1";"0.522"
"Snhg11";"Snap25";"0.649"
"Stmn3";"Snap25";"0.513"
"Ogt";"Snap25";"0.57"
"Snap25";"Gm5844";"0.581"
"Nlgn1";"Snap25";"0.564"
"Nbea";"Snap25";"0.6"
"Snap25";"Glrb";"0.531"
"Snap25";"Kcna2";"0.503"
"Ank2";"Snap25";"0.531"
"Snap25";"Pnisr";"0.524"
"Agbl4";"Snap25";"0.549"
"Snap25";"Camta1";"0.508"
"Pclo";"Snap25";"0.514"
"Magi2";"Snap25";"0.559"
"Lhfpl3";"Snap25";"0.501"
"Snap25";"Dpp6";"0.504"
"Sparcl1";"Snap25";"0.519"
"Dync1i1";"Snap25";"0.54"
"Ctnna2";"Snap25";"0.563"
"Snap25";"Magi1";"0.501"
"Snap25";"Gm7308";"0.545"
"Snap25";"Ldhb";"0.527"
"Snap25";"Atp1a3";"0.515"
"Snap25";"Gabrb3";"0.521"
"Ube3a";"Snap25";"0.633"
"Snhg14";"Snap25";"0.522"
"Dlg2";"Snap25";"0.505"
"Anks1b";"Snap25";"0.515"
"Snap25";"Slc25a3";"0.649"
"Snap25";"Atp5b";"0.537"
"Fam155a";"Snap25";"0.556"
"Zmat4";"Snap25";"0.515"
"Snap25";"Slc25a4";"0.603"
"Snap25";"Cpe";"0.501"
"Cadps";"Snap25";"0.553"
"Ube2e2";"Snap25";"0.512"
"Snap25";"Erc2";"0.522"
"Nrg3";"Snap25";"0.56"
"Snap25";"Dpysl2";"0.548"
"Snap25";"Itm2b";"0.502"
"Mycbp2";"Snap25";"0.51"
"Fgf14";"Snap25";"0.574"
"Gria4";"Snap25";"0.56"
"Ntm";"Snap25";"0.535"
"Snap25";"Hspa8";"0.663"
"Snap25";"Pkm";"0.61"
"Snap91";"Snap25";"0.539"
"Snap25";"Mdh1";"0.609"
"Ehbp1";"Snap25";"0.565"
"Snap25";"Gabra1";"0.539"
"Snap25";"Vmp1";"0.536"
"Snap25";"Luc7l3";"0.511"
"Nsf";"Snap25";"0.538"
"Map1b";"Snap25";"0.554"
"Rgs7bp";"Snap25";"0.524"
"Pde4d";"Snap25";"0.511"
"Mdga2";"Snap25";"0.589"
"Snap25";"Gphn";"0.55"
"Calm1";"Snap25";"0.502"
"Meg3";"Snap25";"0.56"
"Snap25";"Hsp90aa1";"0.551"
"Ckb";"Snap25";"0.604"
"Snap25";"Fam49b";"0.524"
"Snap25";"App";"0.571"
"Ttc3";"Snap25";"0.55"
"Dscam";"Snap25";"0.509"
"Snap25";"CT010467.1";"0.514"
"Snap25";"Calm2";"0.564"
"Nrxn1";"Snap25";"0.548"
"Snap25";"Gm5514";"0.514"
"ENSMUSG00000083679";"Snap25";"0.592"
"Snap25";"ENSMUSG00000030695";"0.545"
"ENSMUSG00000102657";"Snap25";"0.511"
"Snap25";"ENSMUSG00000025428";"0.537"
"Snhg11";"Banf2";"0.526"
"Tenm2";"Banf2";"0.585"
"Snph";"Ralgapa2";"0.53"
"Snhg11";"Ralgapa2";"0.512"
"Nrg3";"Ralgapa2";"0.504"
"Gria4";"Ralgapa2";"0.505"
"Mdga2";"Ralgapa2";"0.525"
"Snhg11";"Snph";"0.541"
"Snph";"Chd6";"0.501"
"Snph";"Idh3g";"0.505"
"Snph";"Magi1";"0.527"
"Snph";"Otud7a";"0.504"
"Snph";"Zmat4";"0.5"
"Nrg3";"Snph";"0.522"
"Snph";"Ehbp1";"0.526"
"Snhg11";"Rbm39";"0.594"
"Agbl4";"Rbm39";"0.502"
"Kcnd2";"Rbm39";"0.518"
"Ube3a";"Rbm39";"0.549"
"Rbm39";"Anks1b";"0.548"
"Nrg3";"Rbm39";"0.524"
"Mycbp2";"Rbm39";"0.591"
"Ntm";"Rbm39";"0.52"
"Rora";"Rbm39";"0.513"
"Mdga2";"Rbm39";"0.61"
"Meg3";"Rbm39";"0.563"
"Ttc3";"Rbm39";"0.554"
"Nrxn1";"Rbm39";"0.517"
"Ndrg3";"Chd6";"0.524"
"Ndrg3";"Tenm1";"0.509"
"Ndrg3";"C230004F18Rik";"0.514"
"Ndrg3";"Aff2";"0.53"
"Ndrg3";"Dmd";"0.516"
"Ndrg3";"5330434G04Rik";"0.503"
"Ank2";"Ndrg3";"0.628"
"Ndrg3";"Lingo2";"0.511"
"Ndrg3";"Dnajc6";"0.551"
"Ndrg3";"Rsrp1";"0.629"
"Adam22";"Ndrg3";"0.526"
"Ndrg3";"Rufy3";"0.611"
"Ndrg3";"Galnt17";"0.548"
"Ndrg3";"Kcnd2";"0.517"
"Ndrg3";"Rbm28";"0.55"
"Ndrg3";"Exoc4";"0.508"
"Ctnna2";"Ndrg3";"0.537"
"Ndrg3";"Erc1";"0.546"
"Ndrg3";"Fam168a";"0.562"
"Ndrg3";"Smg1";"0.551"
"Ndrg3";"Syne1";"0.559"
"Ndrg3";"Serinc1";"0.502"
"Ndrg3";"Usp15";"0.515"
"Ndrg3";"Nrg1";"0.605"
"Ndrg3";"Fam208a";"0.572"
"Ndrg3";"Grid1";"0.564"
"Nrg3";"Ndrg3";"0.558"
"Ndrg3";"Tsc22d1";"0.583"
"Pcdh9";"Ndrg3";"0.56"
"Ndrg3";"Dach1";"0.622"
"Ndrg3";"Mycbp2";"0.501"
"Ndrg3";"Opcml";"0.528"
"Ndrg3";"Acaca";"0.637"
"Ndrg3";"Jarid2";"0.506"
"Map1b";"Ndrg3";"0.501"
"Pde4d";"Ndrg3";"0.505"
"Ndrg3";"Nova1";"0.509"
"Ndrg3";"Ddx24";"0.522"
"Ndrg3";"Oxct1";"0.588"
"Ndrg3";"Cdh10";"0.566"
"Ndrg3";"Ctnnd2";"0.501"
"Ndrg3";"Phf20l1";"0.565"
"Ndrg3";"Cntn1";"0.681"
"Ndrg3";"Ttc3";"0.516"
"Ndrg3";"Pde10a";"0.573"
"Ndrg3";"Pja2";"0.515"
"Ndrg3";"Slc8a1";"0.533"
"Ndrg3";"Impact";"0.542"
"Ndrg3";"Mapre2";"0.6"
"Ndrg3";"Wdr7";"0.672"
"Ndrg3";"Ldlrad4";"0.502"
"Ndrg3";"AC149090.1";"0.52"
"Ndrg3";"ENSMUSG00000041670";"0.526"
"Snhg11";"Chd6";"0.534"
"Snhg11";"Zmynd8";"0.527"
"Snhg11";"Stmn3";"0.629"
"Snhg11";"Tspan7";"0.502"
"Snhg11";"Cask";"0.501"
"Snhg11";"Idh3g";"0.528"
"Snhg11";"Il1rapl1";"0.564"
"Snhg11";"Ogt";"0.611"
"Snhg11";"5330434G04Rik";"0.525"
"Snhg11";"Cox7b";"0.581"
"Snhg11";"Rtl4";"0.54"
"Snhg11";"Pkia";"0.548"
"Snhg11";"Stmn2";"0.521"
"Snhg11";"Nlgn1";"0.573"
"Snhg11";"Sclt1";"0.567"
"Snhg11";"Nbea";"0.63"
"Snhg11";"Gria2";"0.598"
"Snhg11";"Glrb";"0.521"
"Snhg11";"Gatad2b";"0.509"
"Snhg11";"Pde4dip";"0.506"
"Snhg11";"Amy1";"0.517"
"Snhg11";"Ank2";"0.659"
"Snhg11";"Zranb2";"0.57"
"Snhg11";"Chd7";"0.519"
"Snhg11";"Pnisr";"0.624"
"Snhg11";"Lingo2";"0.517"
"Snhg11";"Zcchc7";"0.505"
"Snhg11";"Sgip1";"0.55"
"Snhg11";"Osbpl9";"0.598"
"Snhg11";"Elavl4";"0.56"
"Snhg11";"Agbl4";"0.654"
"Snhg11";"Macf1";"0.631"
"Snhg11";"Ago3";"0.502"
"Snhg11";"Rsrp1";"0.502"
"Snhg11";"Rere";"0.559"
"Snhg11";"Camta1";"0.548"
"Snhg11";"Adam22";"0.501"
"Snhg11";"Pclo";"0.581"
"Snhg11";"Magi2";"0.612"
"Snhg11";"Lhfpl3";"0.549"
"Snhg11";"Pcdh7";"0.539"
"Snhg11";"Afm";"0.567"
"Snhg11";"Sparcl1";"0.515"
"Snhg11";"Cplx1";"0.544"
"Snhg11";"Cit";"0.575"
"Snhg11";"Caln1";"0.552"
"Snhg11";"Srrm3";"0.503"
"Snhg11";"Fry";"0.513"
"Snhg11";"Dync1i1";"0.559"
"Snhg11";"Kcnd2";"0.571"
"Snhg11";"Ubn2";"0.615"
"Snhg11";"Luc7l2";"0.593"
"Snhg11";"Tmem178b";"0.52"
"Snhg11";"Ccser1";"0.687"
"Snhg11";"Grid2";"0.581"
"Snhg11";"Ctnna2";"0.621"
"Snhg11";"Lrrtm4";"0.527"
"Snhg11";"Aak1";"0.508"
"Snhg11";"Atp2b2";"0.574"
"Snhg11";"Bicd1";"0.64"
"Snhg11";"Nav2";"0.519"
"Snhg11";"Gabrb3";"0.533"
"Snhg11";"Ube3a";"0.785"
"Snhg11";"Snhg14";"0.561"
"Snhg11";"A230103L15Rik";"0.534"
"Snhg11";"Otud7a";"0.578"
"Snhg11";"Grm5";"0.591"
"Snhg11";"Dlg2";"0.611"
"Snhg11";"Bc1";"0.505"
"Snhg11";"Syne1";"0.528"
"Snhg11";"Ank3";"0.629"
"Snhg11";"Anks1b";"0.604"
"Snhg11";"Slc25a3";"0.584"
"Snhg11";"Rmst";"0.596"
"Snhg11";"Syt1";"0.525"
"Snhg11";"Arglu1";"0.569"
"Snhg11";"Fam155a";"0.629"
"Snhg11";"Zmat4";"0.526"
"Snhg11";"Slc25a4";"0.523"
"Snhg11";"Eps15l1";"0.556"
"Snhg11";"Large1";"0.563"
"Snhg11";"Tecr";"0.58"
"Snhg11";"Cadps";"0.6"
"Snhg11";"Ube2e2";"0.562"
"Snhg11";"Kcnma1";"0.651"
"Snhg11";"Erc2";"0.589"
"Snhg11";"Nrg3";"0.684"
"Snhg11";"Slc22a17";"0.504"
"Snhg11";"Atp8a2";"0.532"
"Snhg11";"Mir124a-1hg";"0.542"
"Snhg11";"Dpysl2";"0.62"
"Snhg11";"Pcdh9";"0.59"
"Snhg11";"Mycbp2";"0.668"
"Snhg11";"Fgf14";"0.683"
"Snhg11";"Gria4";"0.623"
"Snhg11";"Zfp599";"0.639"
"Snhg11";"Opcml";"0.517"
"Snhg11";"Ntm";"0.69"
"Snhg11";"Sik3";"0.553"
"Snhg11";"Map2k5";"0.522"
"Snhg11";"Rora";"0.652"
"Snhg11";"Snap91";"0.562"
"Snhg11";"Dock3";"0.536"
"Snhg11";"Mdh1";"0.547"
"Snhg11";"Ehbp1";"0.55"
"Snhg11";"Ccdc88a";"0.554"
"Snhg11";"Eml6";"0.564"
"Snhg11";"Psme4";"0.518"
"Snhg11";"Tenm2";"0.537"
"Snhg11";"Gabra1";"0.525"
"Snhg11";"Gabrb2";"0.509"
"Snhg11";"Specc1";"0.561"
"Snhg11";"Ncor1";"0.577"
"Snhg11";"Arhgap44";"0.556"
"Snhg11";"Pitpna";"0.553"
"Snhg11";"Vmp1";"0.528"
"Snhg11";"Msi2";"0.604"
"Snhg11";"Luc7l3";"0.574"
"Snhg11";"Atp5g1";"0.566"
"Snhg11";"Cdk12";"0.512"
"Snhg11";"Nsf";"0.639"
"Snhg11";"Mapt";"0.616"
"Snhg11";"Kansl1";"0.624"
"Snhg11";"Tanc2";"0.506"
"Snhg11";"Snhg20";"0.563"
"Snhg11";"Dip2c";"0.581"
"Snhg11";"Amph";"0.532"
"Snhg11";"A330102I10Rik";"0.557"
"Snhg11";"Prpf4b";"0.566"
"Snhg11";"Atxn1";"0.58"
"Snhg11";"Map1b";"0.611"
"Snhg11";"Mast4";"0.529"
"Snhg11";"Srek1";"0.518"
"Snhg11";"Rgs7bp";"0.583"
"Snhg11";"Pde4d";"0.678"
"Snhg11";"Myt1l";"0.52"
"Snhg11";"Hdac9";"0.507"
"Snhg11";"Lrfn5";"0.547"
"Snhg11";"Mdga2";"0.726"
"Snhg11";"Gphn";"0.571"
"Snhg11";"Rbm25";"0.586"
"Snhg11";"Calm1";"0.531"
"Snhg11";"Meg3";"0.847"
"Snhg11";"Ckb";"0.607"
"Snhg11";"Trio";"0.568"
"Snhg11";"Ctnnd2";"0.558"
"Snhg11";"Ubr5";"0.56"
"Snhg11";"Fam49b";"0.51"
"Snhg11";"Asap1";"0.539"
"Snhg11";"Phf20l1";"0.585"
"Snhg11";"Tnrc6b";"0.543"
"Snhg11";"Rbfox1";"0.548"
"Snhg11";"Pi4ka";"0.555"
"Snhg11";"Cadm2";"0.606"
"Snhg11";"Ncam2";"0.56"
"Snhg11";"App";"0.569"
"Snhg11";"Son";"0.646"
"Snhg11";"Ttc3";"0.611"
"Snhg11";"Dscam";"0.652"
"Snhg11";"Pde10a";"0.501"
"Snhg11";"Srrm2";"0.592"
"Snhg11";"Stk38";"0.521"
"Snhg11";"Dlgap1";"0.62"
"Snhg11";"Nrxn1";"0.666"
"Snhg11";"Nrg2";"0.529"
"Snhg11";"Ldlrad4";"0.502"
"Snhg11";"Tcf4";"0.532"
"Snhg11";"Malat1";"0.725"
"Snhg11";"ENSMUSG00000041670";"0.591"
"Snhg11";"ENSMUSG00000025757";"0.524"
"Snhg11";"ENSMUSG00000083679";"0.578"
"Snhg11";"ENSMUSG00000037876";"0.57"
"Snhg11";"ENSMUSG00000097451";"0.621"
"Snhg11";"ENSMUSG00000102657";"0.589"
"Snhg11";"ENSMUSG00000013539";"0.572"
"Snhg11";"ENSMUSG00000039652";"0.622"
"Chd6";"Tenm1";"0.501"
"Rtl4";"Chd6";"0.534"
"Gria2";"Chd6";"0.562"
"Gatad2b";"Chd6";"0.504"
"Ank2";"Chd6";"0.578"
"Lingo2";"Chd6";"0.553"
"Kcnd2";"Chd6";"0.51"
"Grid2";"Chd6";"0.519"
"Ctnna2";"Chd6";"0.542"
"Ube3a";"Chd6";"0.526"
"Syne1";"Chd6";"0.524"
"Kcnma1";"Chd6";"0.516"
"Fam208a";"Chd6";"0.556"
"Grid1";"Chd6";"0.515"
"Nrg3";"Chd6";"0.562"
"Pcdh9";"Chd6";"0.522"
"Mycbp2";"Chd6";"0.629"
"Fgf14";"Chd6";"0.509"
"Opcml";"Chd6";"0.504"
"Ntm";"Chd6";"0.569"
"Chd6";"Grik4";"0.535"
"Chd6";"Ccdc88a";"0.501"
"Chd6";"Cdk12";"0.578"
"Pde4d";"Chd6";"0.55"
"Mdga2";"Chd6";"0.523"
"Ddx24";"Chd6";"0.505"
"Meg3";"Chd6";"0.548"
"Oxct1";"Chd6";"0.507"
"Cntn1";"Chd6";"0.549"
"Chd6";"Pi4ka";"0.517"
"Ttc3";"Chd6";"0.554"
"Dscam";"Chd6";"0.515"
"Wdr7";"Chd6";"0.546"
"Chd6";"Malat1";"0.516"
"ENSMUSG00000041670";"Chd6";"0.556"
"Stmn3";"Tspan7";"0.567"
"Stmn3";"Stmn2";"0.52"
"Stmn3";"Gm5844";"0.709"
"Stmn3";"Glrb";"0.571"
"Stmn3";"Ociad1";"0.546"
"Stmn3";"Afm";"0.514"
"Stmn3";"Cplx1";"0.535"
"Stmn3";"Ndufa4";"0.639"
"Stmn3";"Atp6v0c-ps2";"0.736"
"Stmn3";"Gm7308";"0.628"
"Stmn3";"Ldhb";"0.584"
"Ube3a";"Stmn3";"0.538"
"Stmn3";"Bc1";"0.553"
"Stmn3";"Bsg";"0.657"
"Stmn3";"Slc25a3";"0.613"
"Stmn3";"Slc25a4";"0.615"
"Stmn3";"Tecr";"0.629"
"Stmn3";"Erc2";"0.523"
"Stmn3";"Gm1821";"0.622"
"Stmn3";"Itm2b";"0.566"
"Zfp599";"Stmn3";"0.502"
"Stmn3";"Hspa8";"0.502"
"Stmn3";"Pkm";"0.538"
"Stmn3";"Gm10123";"0.615"
"Stmn3";"Mdh1";"0.697"
"Stmn3";"Canx";"0.51"
"Stmn3";"Ubb";"0.654"
"Stmn3";"Luc7l3";"0.51"
"Stmn3";"Atp5g1";"0.533"
"Stmn3";"Rgs7bp";"0.506"
"Stmn3";"Gm47441";"0.653"
"Mdga2";"Stmn3";"0.503"
"Stmn3";"Rtn1";"0.672"
"Stmn3";"Calm1";"0.656"
"Meg3";"Stmn3";"0.537"
"Stmn3";"Hsp90aa1";"0.716"
"Stmn3";"Ckb";"0.665"
"Stmn3";"Cox6c";"0.521"
"Stmn3";"Grina";"0.505"
"Son";"Stmn3";"0.546"
"Ttc3";"Stmn3";"0.532"
"Stmn3";"Pacsin1";"0.51"
"Stmn3";"Hsp90ab1";"0.589"
"Stmn3";"Calm2";"0.664"
"Stmn3";"Fth1";"0.623"
"Stmn3";"Gm5514";"0.591"
"Stmn3";"ENSMUSG00000083679";"0.689"
"Stmn3";"ENSMUSG00000030695";"0.626"
"Stmn3";"ENSMUSG00000025428";"0.538"
"Rufy3";"Pcsk1n";"0.504"
"Pcsk1n";"Tecr";"0.541"
