"Source";"Target";"Weight"
"Ldlrad4";"Stau2";"0.52"
"Tcf4";"Stau2";"0.508"
"Lrrc4c";"Adgrb3";"0.575"
"Snhg11";"Adgrb3";"0.561"
"Nbea";"Adgrb3";"0.553"
"Gria2";"Adgrb3";"0.523"
"Ank2";"Adgrb3";"0.508"
"Unc5c";"Adgrb3";"0.504"
"Lingo2";"Adgrb3";"0.505"
"Agbl4";"Adgrb3";"0.521"
"Magi2";"Adgrb3";"0.524"
"Ccser1";"Adgrb3";"0.556"
"Grid2";"Adgrb3";"0.569"
"Ube3a";"Adgrb3";"0.616"
"Dlg2";"Adgrb3";"0.617"
"Anks1b";"Adgrb3";"0.508"
"Cntnap4";"Adgrb3";"0.531"
"Cadps";"Adgrb3";"0.528"
"Nrg3";"Adgrb3";"0.504"
"Pcdh9";"Adgrb3";"0.57"
"Mycbp2";"Adgrb3";"0.57"
"Fgf14";"Adgrb3";"0.648"
"Opcml";"Adgrb3";"0.549"
"Ntm";"Adgrb3";"0.586"
"Rora";"Adgrb3";"0.531"
"Spock1";"Adgrb3";"0.553"
"Mdga2";"Adgrb3";"0.601"
"Nrxn3";"Adgrb3";"0.501"
"Csmd3";"Adgrb3";"0.675"
"Nrxn1";"Adgrb3";"0.553"
"Dst";"Gls";"0.548"
"Dst";"Hecw2";"0.501"
"Dst";"Dner";"0.547"
"Dst";"Agap1";"0.512"
"Dst";"R3hdm1";"0.514"
"Dst";"Nfasc";"0.516"
"Dst";"Syt2";"0.523"
"Dst";"Nav1";"0.581"
"Dst";"Esrrg";"0.663"
"Dst";"A330023F24Rik";"0.525"
"Dst";"Frmd4a";"0.565"
"Dst";"Nebl";"0.553"
"Dst";"Sptan1";"0.616"
"Dst";"Strbp";"0.547"
"Dst";"Scn1a";"0.501"
"Dst";"B3galt1";"0.548"
"Dst";"Ubr3";"0.522"
"Dst";"Osbpl6";"0.633"
"Dst";"Lrrc4c";"0.503"
"Dst";"Frmd5";"0.603"
"Dst";"Trpm7";"0.542"
"Dst";"4930402H24Rik";"0.506"
"Dst";"Snap25";"0.534"
"Dst";"Snhg11";"0.627"
"Dst";"Chd6";"0.506"
"Dst";"Il1rapl1";"0.551"
"Dst";"5330434G04Rik";"0.561"
"Dst";"Rtl4";"0.594"
"Dst";"Nbea";"0.521"
"Dst";"Pde4dip";"0.518"
"Dst";"Ank2";"0.694"
"Dst";"Zranb2";"0.522"
"Dst";"Lingo2";"0.641"
"Dst";"Sh3gl2";"0.525"
"Dst";"Sgip1";"0.563"
"Dst";"Agbl4";"0.586"
"Dst";"Macf1";"0.544"
"Dst";"Camta1";"0.659"
"Dst";"Adam22";"0.529"
"Dst";"Magi2";"0.714"
"Dst";"Lhfpl3";"0.631"
"Dst";"Cit";"0.519"
"Dst";"Dync1i1";"0.606"
"Dst";"Ica1";"0.503"
"Dst";"Tmem178b";"0.623"
"Dst";"Ccser1";"0.569"
"Dst";"Ctnna2";"0.634"
"Dst";"Atp2b2";"0.559"
"Dst";"Bicd1";"0.649"
"Dst";"Nav2";"0.518"
"Dst";"Ube3a";"0.632"
"Dst";"Snhg14";"0.532"
"Dst";"Otud7a";"0.552"
"Dst";"Dlg2";"0.627"
"Dst";"Tenm4";"0.545"
"Dst";"Rmst";"0.553"
"Dst";"Syt1";"0.514"
"Dst";"Fam155a";"0.674"
"Dst";"Eps15l1";"0.528"
"Dst";"Cadps";"0.623"
"Dst";"Ube2e2";"0.564"
"Dst";"Kcnma1";"0.612"
"Dst";"Nrg3";"0.638"
"Dst";"Atp8a2";"0.581"
"Dst";"Mir124a-1hg";"0.503"
"Dst";"Dpysl2";"0.513"
"Dst";"Pcdh9";"0.676"
"Dst";"Mycbp2";"0.546"
"Dst";"Gpc6";"0.522"
"Dst";"Fgf14";"0.566"
"Dst";"Gria4";"0.568"
"Dst";"Ntm";"0.535"
"Dst";"Sik3";"0.574"
"Dst";"Snap91";"0.552"
"Dst";"Tmem108";"0.501"
"Dst";"Ehbp1";"0.525"
"Dst";"Tenm2";"0.569"
"Dst";"Specc1";"0.541"
"Dst";"Vmp1";"0.529"
"Dst";"Msi2";"0.605"
"Dst";"Nsf";"0.541"
"Dst";"Tanc2";"0.573"
"Dst";"Amph";"0.508"
"Dst";"Atxn1";"0.529"
"Dst";"Spock1";"0.523"
"Dst";"Map1b";"0.588"
"Dst";"Srek1";"0.506"
"Dst";"Pde4d";"0.654"
"Dst";"Hdac9";"0.505"
"Dst";"Akap6";"0.522"
"Dst";"Mdga2";"0.515"
"Dst";"Gphn";"0.594"
"Dst";"Foxn3";"0.502"
"Dst";"Meg3";"0.661"
"Dst";"Trio";"0.549"
"Dst";"Ctnnd2";"0.508"
"Dst";"Asap1";"0.59"
"Dst";"Tnrc6b";"0.505"
"Dst";"Kif21a";"0.52"
"Dst";"Cntn1";"0.545"
"Dst";"Rbfox1";"0.634"
"Dst";"Grin2a";"0.552"
"Dst";"App";"0.514"
"Dst";"Dscam";"0.638"
"Dst";"Park2";"0.601"
"Dst";"Dlgap1";"0.605"
"Dst";"Lrpprc";"0.531"
"Dst";"Nrxn1";"0.554"
"Dst";"Nrg2";"0.549"
"Dst";"Malat1";"0.56"
"Dst";"Ablim1";"0.564"
"Dst";"ENSMUSG00000041670";"0.637"
"Dst";"ENSMUSG00000037876";"0.567"
"Dst";"ENSMUSG00000097451";"0.607"
"Dst";"ENSMUSG00000102657";"0.528"
"Dst";"ENSMUSG00000013539";"0.51"
"Clasp1";"Rev1";"0.56"
"Mdm4";"Rev1";"0.51"
"Mbd5";"Rev1";"0.546"
"Upp2";"Rev1";"0.519"
"Ryr3";"Rev1";"0.52"
"Chd6";"Rev1";"0.569"
"Ctps2";"Rev1";"0.532"
"Gria2";"Rev1";"0.51"
"Atxn2";"Rev1";"0.501"
"Rbm28";"Rev1";"0.526"
"Erc1";"Rev1";"0.501"
"Usp29";"Rev1";"0.502"
"Fam168a";"Rev1";"0.527"
"Smg1";"Rev1";"0.506"
"Usp15";"Rev1";"0.5"
"Nrg1";"Rev1";"0.509"
"Fam208a";"Rev1";"0.564"
"Nrg3";"Rev1";"0.53"
"Dach1";"Rev1";"0.521"
"Mycbp2";"Rev1";"0.556"
"Scaper";"Rev1";"0.51"
"Acaca";"Rev1";"0.505"
"Ddx24";"Rev1";"0.506"
"Oxct1";"Rev1";"0.558"
