"","structure.acronym.IN","structure.acronym","normalized_projection_volume","projection_volume","Group"
"83","ACAd","LD",0.217750245730112,0.02678935595,"CH"
"84","ACAd","ZI",0.835210737627202,0.102754225,"CH"
"85","ACAd","RSPv",0.302117021270306,0.037168823365625,"CH"
"86","ACAd","VAL",0.185932421660021,0.0228748758,"CH"
"87","ACAd","AI",0.108931795096466,0.0134016502407471,"CH"
"88","ACAd","SIM",5.4474652491136e-08,6.70190222263336e-09,"CH"
"89","ACAd","VM",0.291083403362279,0.0358113805,"CH"
"90","ACAd","CP",9.24440848828304,1.137320184,"CH"
"91","ACAd","PYR",0,0,"CH"
"92","ACAd","NOD",0,0,"CH"
"93","ACAd","AM",0.143900736040535,0.0180374273625,"CH"
"94","ACAd","NOD",0,0,"CH"
"95","ACAd","PVT",0.00184024596411072,0.000230668055078125,"CH"
"96","ACAd","PRM",5.67699117607911e-05,7.11589938964844e-06,"CH"
"97","ACAd","LP",0.264318299369038,0.0331313255,"CH"
"98","ACAd","RSPd",2.29184771521172,0.2872746716,"CH"
"99","ACAd","CUL",0.00018931149618333,2.37294989257812e-05,"CH"
"100","ACAd","CENT",9.869839099747e-05,1.2371479864502e-05,"CH"
"101","ACAd","MD",0.13425705435405,0.016828627375,"CH"
"102","ACAd","VPL",0.0407332455315889,0.00510576233125,"CH"
"103","ACAd","PFL",8.6406885106194e-05,1.08307848632812e-05,"CH"
"104","ACAd","FN",2.18953620236514e-06,2.74450300216675e-07,"CH"
"105","ACAd","CEA",0.000128943118036472,1.61625450256348e-05,"CH"
"106","ACAd","AN",0.000168073405928764,2.10673825195312e-05,"CH"
"107","ACAd","CP",5.06419052875228,0.6347776344,"CH"
"108","ACAd","LD",0.438736568040491,0.0549940132,"CH"
"109","ACAd","DG",0.00454724999214937,0.000569981041719055,"CH"
"110","ACAd","PYR",0,0,"CH"
"111","ACAd","ZI",0.714561155967693,0.0895676096,"CH"
"112","ACAd","ACAv",3.1895499922325,0.399798346325,"CH"
"113","ACAd","PG",0.161979398867674,0.020303521175,"CH"
"114","ACAd","CA3",0.0060963204953752,0.000764151325,"CH"
"115","ACAd","RPO",0.0138686180030682,0.001738380196875,"CH"
"116","ACAd","PT",0.0011137439176672,0.000139603698828125,"CH"
"117","ACAd","VAL",0.136396278945054,0.0170967713,"CH"
"118","ACAd","MOp",0.133828992965589,0.01677497145625,"CH"
"119","ACAd","AI",0.0318186951158172,0.00398835626358032,"CH"
"120","ACAd","CLA",0.0600455176438799,0.007526484525,"CH"
"121","ACAd","RSPv",1.19857998944455,0.150237588025,"CH"
"122","ACAd","SIM",4.64820962140679e-05,5.82635959472656e-06,"CH"
"123","ACAd","AAA",3.64014149212292e-10,4.56278331577778e-11,"CH"
"124","ACAd","SSp",0.146548828989544,0.0183693560623188,"CH"
"125","ACAd","PO",0.0402100520604438,0.00504018195625,"CH"
"126","ACAd","CA1",0.000263257827200442,3.299839921875e-05,"CH"
"127","ACAd","BLA",0.00748808603576383,0.000938604010449219,"CH"
"128","ACAd","VM",0.147789494775822,0.01852486895,"CH"
"129","ACAd","ACB",0.0316049463069692,0.0039615636375,"CH"
"130","ACAd","RN",0.0362616711607959,0.00454526695,"CH"
"131","ACAd","VPM",0.00393079849367089,0.00049271111640625,"CH"
"132","ACAd","MH",8.05871376648277e-05,1.01013009521484e-05,"CH"
"133","ACAd","IP",0,0,"CH"
"134","ACAd","AV",0.0641537762458316,0.0080414396125,"CH"
"135","ACAd","PB",2.20613230774944e-05,2.76530560913086e-06,"CH"
"136","ACAd","SSs",0.00799217651894217,0.00100178989625244,"CH"
"137","ACAd","MOs",1.4716817357655,0.18446988625625,"CH"
"138","ACAd","LH",0.0230149885852546,0.00288484406875,"CH"
"139","ACAv","LH",0.0452557600611783,0.0100621040625,"CH"
"140","ACAv","CLA",0.143233977497031,0.0318464475,"CH"
"141","ACAv","IP",0,0,"CH"
"142","ACAv","PRM",0.000254624944796188,5.66129634765625e-05,"CH"
"143","ACAv","RPO",0.0259918311293302,0.0057789883375,"CH"
"144","ACAv","FN",0.000234719851274704,5.21872920898437e-05,"CH"
"145","ACAv","PB",0.00752465500577866,0.001673021546875,"CH"
"146","ACAv","AM",0.403971662006247,0.0898185092,"CH"
"147","ACAv","ACAd",2.28793685021166,0.508696763553125,"CH"
"148","ACAv","AI",0.0790318608387666,0.0175718363129394,"CH"
"149","ACAv","MH",0.000366160014319086,8.14115189453125e-05,"CH"
"150","ACAv","CA3",0.00175221330964245,0.00038958472109375,"CH"
"151","ACAv","CENT",0.00221067314846222,0.000491518057324219,"CH"
"152","ACAv","MOp",0.0757589759813956,0.0168441475507812,"CH"
"153","ACAv","ACB",0.177810131072479,0.0395340624,"CH"
"154","ACAv","PT",0.0224634979519876,0.00499450354375,"CH"
"155","ACAv","ZI",0.863562212840681,0.1920032464,"CH"
"156","ACAv","RSPd",0.276479952405874,0.06147217610625,"CH"
"157","ACAv","PO",0.0203161797434879,0.0045170717375,"CH"
"158","ACAv","CEA",0.0012184719928273,0.000270913403564453,"CH"
"159","ACAv","CA1",0.00181539428785778,0.00040363229375,"CH"
"160","ACAv","NOD",1.20792361147903e-05,2.68568090820312e-06,"CH"
"161","ACAv","RSPv",0.191534115224048,0.042585434346875,"CH"
"162","ACAv","SSp",0.14202912057346,0.031578561252393,"CH"
